"X1","X2","X3","X4"
"","Melissa Gotobed","...","Hogwart's First Year Epilogue 
  
  
  (uncredited)"
"","Natalie Harrison","...","Gryffindor Student 
  
  
  (uncredited)"
"","Ian Hart","...","Professor Quirinus Quirrell 
  
  
  (archive footage) (uncredited)"
"","Robin Harvey","...","Hogwarts Student 
  
  
  (uncredited)"
"","Stephen Hawke","...","Wedding Guest (The Weasley's) 
  
  
  (uncredited)"
"","David Heyman","...","Dining Wizard in Painting 
  
  
  (uncredited)"
"","Harper Heyman","...","Baby of Dining Wizard Family in Portrait 
  
  
  (uncredited)"
"","Matthew Hodgkin","...","Hogwarts Student 
  
  
  (uncredited)"
"","Steven Hopwood","...","One-Legged Wizard 
  
  
  (uncredited)"
"","Joe Kallis","...","Death Eater 
  
  
  (uncredited)"
"","Gemma Kayla","...","Ravenclaw Senior 
  
  
  (uncredited)"
"","Hrvoje Klecz","...","Death Eater 
  
  
  (uncredited)"
"","Maxwell Laird","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Debra Leigh-Taylor","...","Wizard Teacher 
  
  
  (uncredited)"
"","Christina Low","...","Ravenclaw Student 
  
  
  (uncredited)"
"","Sarah Lowe","...","Ministry Wizard 
  
  
  (uncredited)"
"","Jonathan Massahi","...","Hogwarts Student 
  
  
  (uncredited)"
"","Tony Montalbano","...","Passenger 
  
  
  (uncredited)"
"","Sha'ori Morris","...","Slytherin Girl 
  
  
  (uncredited)"
"","Luke Newberry","...","Teddy Lupin 
  
  
  (uncredited)"
"","Lisa Osmond","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Elisabeth Roberts","...","Death Eater 
  
  
  (uncredited)"
"","Keijo Salmela","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Mark Sealey","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Arti Shah","...","Gringotts Goblin 
  
  
  (uncredited)"
"","Glen Stanway","...","Death Eater 
  
  
  (uncredited)"
"","Albert Tang","...","Hogwarts Teacher 
  
  
  (uncredited)"
"","Richard Trinder","...","Augustus Rookwood 
  
  
  (uncredited)"
"","Nick Turner","...","Death Eater 
  
  
  (uncredited)"
"","Aaron Virdee","...","Gryffindor Senior 
  
  
  (uncredited)"
"","John Warman","...","Railway Station Porter 
  
  
  (uncredited)"
"","Spencer Wilding","...","Knight of Hogwarts 
  
  
  (uncredited)"
"","Amy Wiles","...","Slytherin Student 
  
  
  (uncredited)"
"","Thomas Williamson","...","Hogwarts Student 
  
  
  (uncredited)"
